,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_input_copies,param_n_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,11.556504106521606,1.2037794935229815,1.3113428592681884,0.195920137523992,32,0.001,1,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.5296052631578947,0.4478594950603732,0.45334796926454446,0.0021953896816684962,0.4621295279912184,0.37902752903113984,0.19070575496116765,19,,,,,,,,1
1,20.823652219772338,1.0629033493627116,0.8032580375671386,0.018986908932104425,32,0.001,1,1,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 5}",0.0010964912280701754,0.0010976948408342481,0.0021953896816684962,0.0021953896816684962,0.43468715697036225,0.08825442448052073,0.173217062630517,27,,,,,,,,1
2,14.024782466888428,2.676960834437611,0.8514619827270508,0.14960957373427244,32,0.001,1,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 10}",0.1118421052631579,0.6959385290889133,0.6564215148188803,0.4643249176728869,0.5301866081229418,0.491742734993356,0.20754237129240002,11,,,,,,,,1
3,34.73728790283203,0.8813349951110654,0.783775806427002,0.13941121788750238,32,0.001,1,2,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 1}",0.5252192982456141,0.5554335894621295,0.5543358946212953,0.5543358946212953,0.5488474204171241,0.5476344194734917,0.011441639932934696,5,,,,,,,,1
4,22.879199743270874,0.8695718206577412,1.3533400535583495,0.27825933874985476,32,0.001,1,2,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 5}",0.48026315789473684,0.5236004390779363,0.4226125137211855,0.050493962678375415,0.4884742041712404,0.3930888555086949,0.17434099011384876,17,,,,,,,,1
5,22.729020071029662,1.4662574416671463,1.4059037208557128,0.19823976181804334,32,0.001,1,2,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 10}",0.4375,0.10428100987925357,0.3929747530186608,0.8331503841931943,0.5071350164654226,0.45500823271130625,0.23361205617982778,14,,,,,,,,1
6,10.773212242126466,1.2842537923448072,0.7533763885498047,0.07224125667524389,32,0.001,1,3,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 1}",0.8322368421052632,0.0010976948408342481,0.0021953896816684962,0.0021953896816684962,0.11306256860592755,0.1901575769830724,0.3239174678100635,26,,,,,,,,1
7,23.253584718704225,2.1322036208963855,1.1545183181762695,0.11845783380297405,32,0.001,1,3,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 5}",0.5087719298245614,0.47420417124039516,0.5148188803512623,0.4829857299670692,0.5115257958287596,0.4984613014424095,0.016567812994423857,9,,,,,,,,1
8,29.829042291641237,0.8028925011120267,1.7400392055511475,0.042800530304267156,32,0.001,1,3,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 10}",0.19846491228070176,0.31174533479692645,0.2349066959385291,0.7442371020856202,0.7113062568605928,0.44013206039247404,0.23791550315782212,15,,,,,,,,1
9,8.601310443878173,1.2864133264401443,0.5748929500579834,0.0387878724703932,32,0.01,1,1,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.731359649122807,0.33479692645444564,0.5060373216245884,0.4489571899012075,0.4807903402854007,0.5003882854776898,0.12948313995620905,8,,,,,,,,1
10,9.649001264572144,1.1140899222048437,0.6349483013153077,0.024781751052965234,32,0.01,1,1,5,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 5}",0.9989035087719298,0.4522502744237102,0.0570801317233809,0.038419319429198684,0.0021953896816684962,0.3097697248059776,0.38138985927791896,21,,,,,,,,1
11,11.416838836669921,1.4162910755135072,0.817690372467041,0.05183200088097223,32,0.01,1,1,10,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 10}",0.23026315789473684,0.7189901207464325,0.54006586169045,0.7705817782656421,0.7091108671789242,0.5938023571552371,0.19761950951704163,3,,,,,,,,1
12,10.991219282150269,0.4320839917677317,0.5583665370941162,0.027188801106027078,32,0.01,1,2,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 1}",0.45285087719298245,0.13062568605927552,0.2579582875960483,0.6619099890230515,0.4522502744237102,0.3911190228590136,0.18246323413020224,18,,,,,,,,1
13,12.741289186477662,1.4868076562597803,0.8473778247833252,0.0193721761016024,32,0.01,1,2,5,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 5}",0.14583333333333334,0.5927552140504939,0.6684961580680571,0.17453347969264543,0.7826564215148188,0.4728549213318697,0.26251375003228766,12,,,,,,,,1
14,17.44761953353882,1.5041373072278705,1.142011785507202,0.03425971927652517,32,0.01,1,2,10,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 10}",0.09978070175438597,0.4610318331503842,0.39626783754116357,0.18331503841931943,0.25466520307354557,0.2790121227877598,0.13323264190479642,23,,,,,,,,1
15,9.502166700363158,1.0934423750234885,0.6455673217773438,0.0864616368434593,32,0.01,1,3,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 1}",0.9989035087719298,0.1800219538968167,0.5268935236004391,0.0021953896816684962,0.0021953896816684962,0.3420419531265045,0.38023126118522294,20,,,,,,,,1
16,15.833483743667603,0.954282125773957,1.1338609218597413,0.11676180516102033,32,0.01,1,3,5,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 5}",0.43201754385964913,0.3929747530186608,0.11086717892425905,0.09769484083424808,0.31394072447859495,0.2694990082230824,0.14022434119715016,25,,,,,,,,1
17,25.51968660354614,1.2956334254312192,1.7268914222717284,0.018988837396589076,32,0.01,1,3,10,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 10}",0.37390350877192985,0.884742041712404,0.5642151481888035,0.1437980241492865,0.22063666300768386,0.4374590771660215,0.2658635874010491,16,,,,,,,,1
18,7.93534746170044,1.1433957768647698,0.5281684398651123,0.007589159946836614,32,0.1,1,1,1,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.0010964912280701754,0.3358946212952799,0.145993413830955,0.5927552140504939,0.2843029637760702,0.2720085408361738,0.19818383554009208,24,,,,,,,,1
19,8.891068267822266,0.4911029733790356,0.6214226722717285,0.012071952118240317,32,0.1,1,1,5,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 5}",0.7445175438596491,0.8529088913282108,0.7859495060373216,0.6542261251372119,0.7058177826564215,0.7486839698037631,0.06786561424211963,2,,,,,,,,1
20,10.703620004653931,0.7386845342490063,0.7930155754089355,0.03813969982036681,32,0.1,1,1,10,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 10}",0.30153508771929827,0.7442371020856202,0.8386388583973655,0.27442371020856204,0.17892425905598244,0.4675518034933656,0.2692308401779388,13,,,,,,,,1
21,8.81727967262268,1.0336127024734214,0.5756572246551513,0.05016389778839173,32,0.1,1,2,1,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 1}",0.0010964912280701754,0.5653128430296378,0.4226125137211855,0.9978046103183315,0.47639956092206365,0.4926452038438577,0.31851381358065967,10,,,,,,,,1
22,12.412998580932618,1.4587961770681017,0.8342772483825683,0.012385258928399999,32,0.1,1,2,5,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 5}",0.5098684210526315,0.6695938529088913,0.5060373216245884,0.18660812294182216,0.9176728869374314,0.557956121093073,0.2386488881846614,4,,,,,,,,1
23,17.797819566726684,1.3087742343472797,1.1399106979370117,0.04014835442038416,32,0.1,1,2,10,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 10}",0.09539473684210527,0.7947310647639956,0.9758507135016465,0.10318331503841932,0.7321624588364435,0.5402644577965221,0.3688529454947205,6,,,,,,,,1
24,9.147781944274902,1.282671447163476,0.6311318397521972,0.027945767492568763,32,0.1,1,3,1,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 1}",0.9989035087719298,0.9989023051591658,0.9978046103183315,0.9978046103183315,0.9978046103183315,0.9982439289772179,0.0005380534090005959,1,,,,,,,,1
25,13.97456398010254,0.8986390483603022,0.8354745864868164,0.11655027785679471,32,0.1,1,3,5,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 5}",0.9989035087719298,0.30954994511525796,0.5137211855104281,0.70801317233809,0.054884742041712405,0.5170145107554837,0.32413386440004766,7,,,,,,,,1
26,17.690168952941896,1.1410637928047191,0.9510319709777832,0.03587431533178875,32,0.1,1,3,10,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 10}",0.0010964912280701754,0.5455543358946213,0.16465422612513722,0.32491767288693746,0.47420417124039516,0.30208537947503233,0.1994517272928385,22,,,,,,,,1
